거래처,주소,전화번호,팩스번호
Z서동플랜트,경기도 화성시 우정읍 기아자동차로299번길 51-28,,
Z서진산업가스(당진),충청남도 당진시 송산면 무수들길 334,041-353-3400,041-352-4588
Z석전의료공업,경기도 오산시 황새로 149번길 16,031-374-4031,031-374-4469
Z선도,,,
Z선도(진천공장),충북 진천군 이월면 산수산단2로 241,043-536-1631~3,043-563-1634
Z선우하이테크,경기도 안산시 단원구 산단로163번길 86(원시동),031-365-5774,031-365-5704
Z선진테크,경기도 화성시 팔탄면 밤뒤길 92-15,,
Z성대이엔지,충청남도 당진시 송악읍 순성로 822-81,041-362-0045,041-363-0045
Z성심산업/탱크,경기 화성 정남면 가장로 157,031-352-6378,031-352-6379
Z성심이엔씨,충남 천안시 동남구 목천읍 삼성3길 24,,
Z성진테크,경기도 화성시 팔탄면 시청로 997,031-354-3167,031-354-0321
Z성천기공,경기 화성 마도면 송정리 326-148,031-357-5723,031-357-5725
Z세광산업2공장,경기 화성 마도면 마도공단로5길 10,031-319-3233,031-355-1506
Z세종솔루션(엔에스제이),"경기 수원시 권선구 산업로156번길 7, 1층 좌측 아스플로(고색동)","031-291-0718,0729",031-295-1491
Z세진가스텍(대흥정밀),경기 수원시 권선구 산업로 195-22 (고색동),031-477-2407,
Z세진가스텍(동양특장),경기 화성 향남읍 동오리 608-2,,
Z세진가스텍(동우기업),경기 화성 팔탄면 율암리 112-3,031-354-6213,
Z세진가스텍(삼양레이져),,,
Z세진가스텍(상록금속),경기도 화성시 향남읍 구문천1길 59-22,031-353-7622,031-353-7623
Z세진가스텍(성진모터스),"경기 화성 팔탄면 서해로 961 (14,15)",031-487-5161,
Z세진가스텍(신원산업),경기 화성 안녕길 137,,
Z세진가스텍(안성에스티),경기 시흥시 정왕동 1381-4 시화공단3마416,031-488-9875,
Z세진가스텍(영신산업),경기도 화성시 팔탄면 노하길 395번길 30,031-352-6023,
Z세진가스텍(유엔아이테크),경기 화성 마도면 마도공단로4길 46-20,031-355-8761,
Z세진가스텍(지온플러스),경기 화성 양감면 송산리 7-8,031-769-8221,
Z세진가스텍(청송철강),경기 화성 팔탄면 창곡리 5번지,,031-354-6213
Z세진가스텍(탑이엔지),경기 시흥시 시화공단 3바 702호,,
Z세진가스텍(태성엠에스),경기 화성 팔탄면 지월리 731-3,031-359-8755,
Z세진가스텍(한강진공열처리),경기 시흥시 정왕동 2178-6 (시화공단 2바516호),031-434-6960,031-434-6934
Z세진가스B,,,
Z세진티타늄,경기 시흥시 정왕동 1267-1 시화공단2다 502호,031-415-1111,031-415-0000
Z속초의료원,강원도 속초시 영랑호반길 3(영랑동),033-630-6098,
Z솔루머스,"경기도 오산시 서동로 93, B동(서동)",010-8363-7495,
Z수원대학교산학협력단,경기도 화성시 봉담읍 와우안길 17,,
Z수원시상수도사업소,"경기도 수원시 장안구 광교산로 119, 1층(하광교동)",031-228-4914,031-228-3763
Z순바이오가스(샛별수산),세종특별자치시 전동면 하노장5길 10,041-569-2080,041-569-2090
Z승리전력,경기 용인시 기흥구 용구대로 1855번길 77 (보라동),02-318-9037,02-318-9039
Z시민종합가스,경북 경주시 강동면 모서별봉길 81,010-4499-4359,
Z신광하이텍,경기 화성 송산면 고포리 225-11,031-366-7427,031-366-7430
Z신비오켐(부경금속열처리),충남 논산시 연무읍 양지리 643-3,,055-336-4030
Z신우플랜트산업,"경기도 시흥시 옥구천동로 26, 시화공단2바801호 내 디6호(정왕동)",,031-488-9932
Z신유성산업,경기 화성 양감면 솔안길 70-9,011-9989-4781,
Z신일본사(대영산업가스),,,
Z씨엔에스켐,경기도 화성시 서신면 전곡산단4길 26,031-337-5750,031-337-5753
Z씨케이복층유리,경기도 화성시 팔탄면 안산동길 135-58,031-8059-6308,031-8059-6309
Z아론,경기 화성 남양읍 현대기아로 466-32,031-352-8118,031-352-1881
Z아이텔,"전라북도 군산시 동장산2길 6,2101호(소룡동,연구실험동)",,
Z아이티비,경기 화성시 팔탄면 율암리 430-34,031-354-8961~2,031-354-8963
Z아주대학교,,,
Z아진산업가스,인천광역시 서구 봉수대로 300번길 42(석남동),032-578-8884,032-578-6156
Z안산산업가스(넥스플러스),,,
Z안산산업가스(레어템),,,
Z안산산업가스(명성이엔지),,031-319-7642,
Z안산산업가스.,경기 안산시 상록구 선진5길 35(사동),031-415-6201,031-415-6202
Z안산산업가스탱크,"경기 안산시 상록구 선진5길 35,C동 101호(사동)",031-415-6201,031-415-6202
Z알파스코리아,경기 화성 팔탄면 버들로 1362번길 53-55,031-8059-5853,031-8059-5854
Z에너지프라자(디엘다이아몬드),"인천광역시 남구 주염로 73번길 67, 2층 (주안동)",032-876-1503,032-876-1505
Z에너지프라자(명진엔지니어링),,,
Z에너지프라자(성일산업),,,
Z에너지프라자(엘코스틸),경기 화성 송산면 은수포북길 32번길 60,031-356-7435,
Z에너지프라자(지엠레이저),,,
Z에너지프라자(평택화력발전소),경기도 평택시 포승읍 남양만로 175-2,,
Z에스아이 ENT,서울 금천구 가산동 459-22 백상스타타워2차 805,,
Z에스앤엠,경기 화성 마도면 청원리 25-1(마도로594번길 42),031-353-7247,031-352-7204
Z에스에이치씨중공업,경기 화성 장안면 장안로 566-19,031-351-8228,031-354-8199
Z에스엔에프,경기 평택시 수월암리 637-11,070-7780-0500,031-667-8035
Z에스엘지(대광산업),경기 화성 송산면 송산서로420번길 101-77,031-355-7905,031-403-7904
Z에스엘지(인천),인천 남동구 청능대로484번길 8-41(고잔동),032-442-6868,032-442-6867
Z에스엘지(진성중공업),경기 화성 서신면 전곡리 630-3번지,031-357-8391~2,031-357-7527
Z에스엘지(화성),경기 화성 향남읍 향봉로 52-2(도이리 315번지),031-353-4083,031-353-4085
Z에스엠산업가스,충북 음성군 맹동면 쌍정리 591-3,"043-877-1552,1553",043-877-1554
Z에스엠텍,경기 화성 정남면 서봉로 995번길 34,031-354-1903,031-354-1904
Z에스케이가스.,경기 화성 팔탄면 온천로 437-9,031-353-0901,031-354-9891
Z에스케이가스텍(제이에스플랜트),경기도 김포시 월곶면 애기봉로 295,,
Z에스케이가스텍(해성기공-순천향),경기도 김포시 월곶면 애기봉로 295,"031-997-9133,4",031-997-9135
Z에스케이가스텍(해성기공-오산),경기도 김포시 월곶면 애기봉로 295,,
Z에스케이종합가스,경기도 화성시 양감면 초록로 497-2,,
Z에스코(국제종합가스),,,
Z에스코가스산업,경기도 화성시 장안면 수촌리 528-3,1666-2554,031-366-2554
Z에어리퀴드,,,
Z에어텍,경기도 화성시 세자로442번길 44(안녕동),"031-222-3100,3800",031-222-1750
Z에이원씨엔에스,경기 화성 향남읍 토성로 95-5(백토리),031-366-4221,031-352-8354
Z에이원테크(주),강원도 삼척시 근덕면 심방금계길 201-24,033-572-3104,033-575-3104
Z에이지씨,충청남도 예산군 신양면 차동로 286,010-2037-9733,
Z에코산업가스,경기 평택시 지산로 294-10(지산동),031-663-4488,031-663-4488
Z에프엠에스코리아,경기 화성 동탄산단7길 98-12(방교동),031-266-1586~7,031-266-1801
Z엔케이텍,경기 오산시 남부대로 380(원동),031-377-3311,031-372-3679
Z엔케이플랜트,경기 화성 장안면 석포공단길 10-11(석포리 785-172),031-351-8409,031-358-8406
Z엔티에스(화성),"경기도 김포시 김포한강10로133번길 107, A동 3층 365호(구래동)",010-8531-8928,
Z엘스,경기 화성 향남읍 발안공단로 301 비-301호,031-8059-8900,031-831-9756
Z엘에스와이(상용상사),경기 포천시 창수면 전영로 1238,011-263-7628,
Z엘에스와이(포천),경기 포천시 장수면 전영로 1238,032-681-0811,
Z엘오엘,경기 화성 우정읍 호곡공단로 53,031-493-7041,031-493-7042
Z엠시스텍,경기 시흥시 엠티브이26로 58번길 31,070-4279-4480,031-494-0962
Z엠시스텍(안성공장),경기 안성시 미양면 양변리 446-2,,
Z엠제이씨,경기 안산시 단원구 성곡동 660-13,031-433-6191,031-433-6966
Z엠제이테크,"경기도 화성시 팔탄면 온천로 460번길3, 1동",010-5057-7314,031-354-4502
Z연경기초소재,경기 화성 서신면 제부로654번길 46-12,031-357-5745,
Z연세대학교,서울특별시 서대문구 연세로 50 (신촌동),,
Z연화상회,경기 시흥시 정왕동 2003-12번지 16호,031-497-5169,
Z영광이엔지,경기 화성 향남읍 동오4길 52,031-366-1601~2,031-366-1603
Z영광하이텍,경기 화성 기안동219-4,031-225-4666,031-225-9650
Z영북가스,강원 속초시 노학동 1073-21,033-635-2356,033-633-1801
Z영풍정밀-식당,경기 안산시 단원구 해안로 97(목내동),031-8085-2236,
Z영풍정밀-펌프,경기 안산시 단원구 해안로 97(목내동),031-8085-2236,
Z예인철강,경기 화성 서신면 전곡산단로154-35,031-357-0548,031-357-0538
Z오케이가스,"경기 부천시 원미구 정주로 55(약대동, 4층)",032-683-8000,032-683-8002
Z온리이엔지,"대전광역시 중구 오류로 13-10. 101동 1801호(오류동, 서대전역코아루써밋)",,
Z와이엔씨,"경기 화성 현대기아로 661-2(북양동,3동)",070-4739-1011-4,070-4739-1015
Z용역운송(OB맥주-에스앤디),,,
Z용진기공,경기 화성 서신면 장외리 385-18 B동5호,031-355-1812,356-7089
Z우리들산업,"경기도 화성시 우정읍 궁평항로 66-23, 외1필지",,
Z우성정공,경기도 화성시 봉담읍 왕림북길 22-11,031-297-4142,031-297-4148
Z우주컨테이너,경기 화성 마도면 마도로 489,031-366-7788,031-366-7711
Z우진가스텍,경남 김해시 생림면 마사로 29,055-336-1261~2,055-336-1263
Z우창.,경기 화성 마도면 쌍송리 409-5,031-357-3704~5,031-357-3706
Z우창산업건설,경기 화성 송산면 송산서로420번길 101-75,031-482-9204,070-8673-0101
Z울타리,경기도 화성시 마도면 송정리 624-7,010-6381-7336,
Z원이엔지.,경기도 화성시 팔탄면 버들로 1411-30,,050-8090-4648
Z원진이엔지,경기도 화성시 팔탄면 밤뒤길 114-21,031-357-2235,031-357-2313
Z웨이브,"경기도 고양시 일산동구 일산로380번길 11, 지층 에이호(정발산동)",031-906-5176,031-941-5276
Z위드스틸,충청남도 당진시 대호지면 문헌로 834-6 A동공장 ,041-353-0457,041-353-0458
Z유공가스,경기 안산시 상록구 오목로 190(본오동),031-409-6060,031-419-1145
Z유공가스(씨에스티),경기 화성 서신면 전곡해양산업단지 138-7,031-355-0042,
Z유공가스(영풍정밀-밸브),경기 안산시 단원구 해안로 168(목내동),031-8041-2145,031-492-8472
Z유닉,"경기 수원시 영통구 광교로 107,본관동 507호(이의동, 경기도중소기업지원센터)",,
Z유동금속,경기 평택시 세교산단로 16(세교동 543-4),031-654-3101,031-654-3107
Z유에스솔루션,경기도 화성시 봉담읍 삼천병마로 894-8,010-5054-7319,
Z유진산업가스(주),충청남도 당진시 송악읍 월곡로 240,041-358-3657,041-357-3656
Z유진화학,경기 오산시 동부대로 390(원동),031-374-2058,031-374-4094
Z유피아,충남 아산시 둔포면 아산밸리북로 111-12,041-532-3840,041-532-3841
Z유피아(용인),경기 용인시 처인구 포곡읍 금어로 517 (프리즘코리아),031-321-3840,031-321-3860
Z유한가스화학,"경기도 화성시 송산면 당성로 487-18, 외 5",010-3705-1805,
Z유한산업,경기도 이천시 신둔면 황무로338번길 360,031-694-8425,031-694-8428
Z윤지양행,경기 오산시 가장동 392-4,031-202-0563,031-204-8970
Z은명건설,"서울 송파구 올림픽로 397, 303(신천동,새진주상가)",031-414-5866,031-412-5866
Z이노크린 주식회사(드라이아이스텍),경기도 수원시 장안구 서부로 2287-11(이목동),031-271-4646,031-271-4647
Z이레산업,경기 화성 마도면 마도로 620번길 22-9,011-9979-3198,
Z이신크레인,경기 화성 송산면 송산포도로 450(중송리193-4),010-2122-8995,
Z이젠테크,경기도 화성시 양감면 용소금각로 59,031-352-3072,031-353-4072
Z이화산소,인천광역시 서구 가정로58번길 32(가좌동),032-575-4747,032-575-4746
Z재성테크,경기 화성 마도면 마도공단로4길 59,031-357-5123~4,031-357-5101
Z전진CSM,충남 아산시 음봉면 월암로 365,041-539-0292,041-539-0330
Z제이비에너텍,경기도 화성시 비봉면 현대기아로 825-83,031-695-0560,031-356-7090
Z제이씨가스,경기도 안성시 원곡면 청원로 1798,031-692-4014,031-692-4016
Z제이씨광주,경기도 광주시 광남안로 129번길 23-2(목동),031-765-1974,031-765-1976
Z제이씨산업,경기 화성 팔탄면 노하길377,,031-353-9929
Z제이엔피엔지니어링,경기 화성 향남읍 향봉로 25-1,,031-243-0372
Z제이티,충북 진천군 이월면 장수로 343-1,043-536-0395~7,043-536-0399
Z제일밴딩,경기도 화성시 팔탄면 푸른들판로 760,031-354-3292,031-354-3291
Z제일플랜트,경기 화성 팔탄면 온천로165번길 16-17,031-366-6713,031-366-6714
Z제일플랜트(마도공장),경기 화성 마도면 청원산단8길 138,031-366-6713,031-366-6714
Z제일플랜트(발안공단),,031-366-6713,031-366-6714
Z제주콜드체인,제주 서귀포시 516로 88(토평동),010-9995-4242,
Z주경산업,경기 화성 향남읍 발안로 576-46,031-353-9448,031-353-9491
Z주원산기,경기 화성 비봉면 자안리 719번지,031-356-4643,031-356-4641
Z중원산업가스,충청남도 보령시 주포면 질재로 8,02-790-0911~3,02-790-0688
Z지성엔지니어링,경기 안산시 단원구 황새바위길 94(신길동),031-498-0332,031-495-3332
Z지에스네트웍스,경기도 용인시 처인구 포곡읍 포곡로 100,,
Z지에스리테일,경기 김포시 고촌읍 아라육로230번길 16,,
Z지엠철강,"충남 당진시 석문면 산단4로 258
충남 당진시 석문면 산단4로 258
충남 당진시 석문면 산단4로 258충남 당진시 석문면 산단4로 258
",,
Z지오텍,"경기도 화성시 우정읍 쌍봉로 460, 1층 1호(다람이엔지)",010-9233-7722,
Z진산에스티,경기 화성 서신면 장외리 385-21,031-357-7151,031-357-7152
Z진양에스엠,경기도 화성시 팔탄면 노하길 367,031-352-6894,031-366-5203
Z진진산업가스(주),경기 화성 송산면 송산포도로 343,031-366-7746,031-366-7749
Z진텍코리아,경기 평택시 서탄면 내천리 14-1,010-5289-9600,
Z참사랑요양,"경기 시흥시 군자로 507, 201호(거모동, 군자프라자)",,
Z창산업,경기 화성 양감면 토성로 547-9,031-353-6051,
Z창성에스티,"인천광역시 남동구 장승로 6, 201호(만수동)",,
Z창신화학,,,
Z창호이엔지,경기도 화성시 마도면 석교로 26-27,010-5661-9723,
Z청명플랜트,경기 화성 장안면 석포리 655,031-366-4010,031-366-4011
Z청우GNT,경기 시흥시 엠티브이25로 58번길 23 (정왕동),031-497-2080,031-497-2048
Z청정종합에너지,경기 화성 향남읍 향봉로 26,010-5264-1449,
Z컬리,"서울 강남구 테헤란로133, 18(역삼동, 한국타이어빌딩)",,
Z케이엔비,경기 화성 향남읍 발안공단로4길 92,031-353-7072,031-353-9054
Z케이엘테크,"경기도 안산시 단원구 첨단로 175(성곡동,5바910호)",031-433-5533,031-433-5885
Z케이제이플랜트,"경기도 의왕시 위인로 15, 104동 102호(왕곡동, 포은아파트)",010-2421-0897,
Z케이테크,경기도 오산시 독산성로232번길 16(지곶동),,
Z코리아에어텍,울산 남구 용잠로 14(부곡동),,052-278-6758
Z코리아오토,경기도 이천시 설성면 진상미로867번길 40-48,031-8011-2155,031-339-0985
Z코리아이테크,경기도 화성시 마도면 마도로 477,,031-356-8545
Z코마산업개발,경기 안산시 단원구 목내동 405-6 반월공단 7 B-15,031-495-2992,031-495-1471
Z코멧네트워크,"부산 해운대구 센텀중앙로 66, 1306(우동,센텀티타워)",010-8826-2395,
Z코오롱엘에스아이주식회사,"경기도 과천시 코오롱로 11, 6층",02-2199-1942,02-2199-1943
Z태경에코,"경기도 안산시 단원구 동산로27번길 86-6, 1층(원시동)",031-494-5423~4,031-494-5090
Z태광기업-식당,경기 화성 효행로 1319(반월동),,
Z태광산업가스(동화산업가스),,,
Z태산자원,경기 화성 송산면 화성로 651(삼존리 1204),031-357-8464,031-357-8465
Z태성산업가스,경기 군포시 군포로 59-3(대야미동),031-438-4392,031-438-4393
Z태성이엔지,경기 화성 마도면해운로 731-3,031-355-2882,031-355-6556
Z태성이엔지(포승공장),,,
Z태승이엔씨,"서울특별시 강서구 공항대로 434 (화곡동,대지빌딩4층401호)",02-711-1877,
Z태원용접기,"서울특별시 금천구 가산디지털1로 5, B205호, B206호, 1818호(가산동, 가산동대륭테크노타운20차)",02-2683-9977,070-4015-0848
Z태화인더스(구.엠제이테크),경기도 화성시 남양읍 현대기아로 520-14,,
Z테크니컬코리아,경기도 화성시 비봉면 현대기아로 771-10,031-357-3116,031-357-9263
Z토탈이엔지,"경기도 화성시 팔탄면 푸른들판로 921-3(,8)",010-3201-9839,
Z토탈콤프레샤,"경기 화성 팔탄면 시청로 757 (101,102)",354-6186,
Z티에스코,경기 화성 팔탄면 노하길 377,031-353-1756,031-352-1338
Z티에스타이어,경기 화성 팔탄면 창곡리 693-7,031-366-0864,031-366-3289
Z티피에스,경기 화성 마도면 쌍송리 677-2 마도지방산업단지 10-3BL,031-355-4862,031-355-7415
Z파오,경기도 성남시 분당 동원동 57-8 2층,031-711-5620,031-711-5624
Z평창철강,경기 안양시 만안구 성수동 386-9,031-473-6116,031-473-2283
Z평화산업가스,충청북도 음성군 생극면 오신로118번길 8,043-877-7443,043-877-9097
Z포엠,"경기도 시흥시 정왕동 1286-2 ,3나 403호",031-497-7730,031-497-7720
Z프로트,경기 화성 마도면 청원리 241-19,031-356-6071,031-356-6417
Z프론티스,경기도 수원시 영통 신동 486 디지털엠파이어2101동1205호,,
Z프리즘코리아(주),경기도 용인시 처인구 포곡읍 금어로 517,031-321-3840,031-321-3860
Z플로트론,세종특별자치시 부강면 금호선말길 73-11,044-275-6600(내선 2103),044-275-5550
Z플루오텍,경기 고양시 일산동구 장항동 863 지평프라자 802,,
Z피에스지(대성충전소),전남 보성군 벌교읍 녹색로 5695-7,,061-857-8313
Z피에스지(연기공장),"부산광역시 동구 자성로133번길 15, 12층(범일동)",041-557-1671,041-558-6144
Z피에스켐,,,055-338-8108
Z피엔에프,경기 화성 팔탄면 서해로1313번길 27(1동),031-366-3915,031-366-3916
Z한국노블가스,대전광역시 대덕구 신일서로125번길 26(신일동),042-932-3300,042-932-4797
Z한국린나이종합가스,충청남도 아산시 음봉면 신정리길 139,,031-366-6220
Z한국비엔텍,충남 예산군 고덕면 오추길 2-6,031-432-8762,
Z한국수소,경기도 부천시 오정구 석천로 398번길 39(삼정동),032-673-6223,032-671-6326
Z한국수자원공사,대전광역시 대덕구 신탄진로 200(연축동),031-790-3261,031-790-3279
Z한국프렉스에어,,,
Z한산정밀,경기 화성 팔탄면 서해로1313번길 27,031-358-9896,031-358-9897
Z한성고주파,"경기 안산시 단원구 엠티브이12로22번길 21(성곡동, 시화엠티브이4사305호)",031-499-7811,031-499-7909
Z한성포장,경상남도 통영시 도산면 법송3길 54-5,055-644-0202,055-642-0202
Z한일가스테크(A),경기 화성 향남읍 서봉로 739,,031-8059-6518
Z한일가스테크(B),경기 용인시 처인구 모현면 능원리 298-8,,
Z한일특수가스,경기 화성 양감면 서해로 152번길 187-3,031-374-6696,031-378-6228
Z한주철강,경기 화성 마도면 해운로 630번길 82-20,031-366-8506,031-366-8507
Z한진가스텍,경상북도 성주군 용암면 운용로 1325,054-931-7322,070-4015-7576
Z합동특수가스,경기도 화성시 서신면 해운로 458번길 94-28,031-526-1071,031-526-1072
Z현대마북연구소(동덕산업가스),울산광역시 북구 동해안로 1559(산하동),052-226-6040,052-226-6099
Z현석가스,경기도 화성시 팔탄면 터넉골로120번길 6,031-453-0044,031-8901-0044
Z형제산업가스(태흥철강),인천 남동구 앵고개로 645번길,,
Z호성이엔지,경기 화성 비봉면 현대기아로 826,031-356-2408,031-356-2450
Z환경시설관리 주식회사,"경기도 안양시 만안구 일직로 88(석수동,케이-타워 본관)",043-273-7832,
Z히아브,경기 화성 남양읍 신남로 394,031-357-3003,031-622-9745
,,,
,,,
